assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
400077,31741,Cell cycle arrest in U87MG cells by accumulation at S phase at 7.0 uM after 12 hrs,F,,,Homo sapiens,9606.0,,,U-87 MG,,80565,N,1,Intermediate,1,,CHEMBL912099,560.0,BAO_0000219,,,CLD0
748219,57659,"Drug level in mouse plasma assessed as [11C]-ibuprofen level at 70 to 125 MBq, iv after 30 mins by HPLC analysis",A,In vivo,,Mus musculus,10090.0,,Plasma,,,102289,N,1,Autocuration,1,379416,CHEMBL1780300,,BAO_0000218,1969.0,,CLD0
525800,43083,Reversal of multidrug resistance in human 2780AD cells assessed as [3H]vincristine accumulation at 0.1 ug/mL after 2 hrs relative to control,F,,,Homo sapiens,9606.0,,,A2780 ADR,,22226,U,0,Autocuration,1,,CHEMBL969164,5594.0,BAO_0000219,,,CLD0
672653,53323,Antiplasmodial activity against Plasmodium falciparum GB4 after 72 hrs by 1536-well format based SYBR green assay,F,,,Plasmodium falciparum,5833.0,GB4,,,,50425,N,1,Autocuration,1,,CHEMBL1267240,,BAO_0000218,,,CLD0
446927,36748,Inhibition of 5HT2A receptor at 1 uM,B,,,Homo sapiens,9606.0,,,,,107,D,9,Expert,1,,CHEMBL897227,,BAO_0000357,,,CLD0
1278878,76261,"Biodistribution in small intestine wall of ddY mouse at 5.6 +/- 2.1 MBq, iv measured per gram of tissue at 15 mins by gamma-ray counting analysis",A,,,Mus musculus,10090.0,ddY,Small intestine,,,50594,N,1,Autocuration,1,608631,CHEMBL3096985,,BAO_0000218,2108.0,,CLD0
938474,72098,Inhibition of human SGLT1 expressed in COS7 cells assessed as inhibition [14C]-AMG cellular uptake,B,In vitro,,Homo sapiens,9606.0,,,COS-7,,18036,D,9,Autocuration,1,526382,CHEMBL2329663,643.0,BAO_0000219,,,CLD0
301467,21402,Glucose levels in ob/ob mice after 14 days of oral dose at 100 mpk b.i.d.,A,,,Mus musculus,10090.0,,,,,22224,U,0,Autocuration,1,,CHEMBL850421,,BAO_0000019,,,CLD0
1291363,76902,Hemolytic activity in human erythrocytes assessed as induction of stomatocytic shape alteration at hemolysis start concentration after 60 mins by SEM analysis,A,,,Homo sapiens,9606.0,,,Erythrocyte,,22224,U,0,Autocuration,1,622190,CHEMBL3117779,5555.0,BAO_0000219,,,CLD0
322727,30209,Inhibition of sorbitol accumulation in diabetic rat by chronic test,F,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Intermediate,1,,CHEMBL885208,,BAO_0000218,,,CLD0
761107,58564,Displacement of [3H]-PGE2 from mouse EP4 receptor expressed in CHO cells after 60 mins by liquid scintillation counting,B,,,Mus musculus,10090.0,,,CHO,,10616,D,9,Autocuration,1,392027,CHEMBL1815361,449.0,BAO_0000219,,,CLD0
1329112,81716,Cytotoxicity against human HT1080 cells assessed as growth inhibition after 48 hrs by MTT assay,F,,,Homo sapiens,9606.0,,,HT-1080,,22221,N,1,Autocuration,1,639220,CHEMBL3224782,651.0,BAO_0000219,,,CLD0
932827,71535,Downregulation of bcl-2 expression in Homo sapiens (human) HL60 cells at 15 uM after 4 hr by RT-PCR analysis,F,,,Homo sapiens,9606.0,,,HL-60,,80156,N,1,Autocuration,1,547620,CHEMBL3072232,649.0,BAO_0000219,,,CLD0
301903,21067,Concentration of compound in brain of rat after 1 hr of oral dose 10 mg/kg,A,,,Rattus norvegicus,10116.0,,Brain,,,22224,U,0,Autocuration,1,,CHEMBL838451,,BAO_0000218,955.0,,CLD0
1367858,84049,Antifungal activity against Candida glabrata 537 assessed as growth inhibition by automatic microplate reader analysis,F,,,Candida glabrata,5478.0,537,,,,50443,N,1,Autocuration,1,692389,CHEMBL3300245,,BAO_0000218,,,CLD0
611405,49811,Inhibition of SRPK1 at 3 to 6 uM relative to control,B,,,,,,,,,100789,H,8,Autocuration,1,,CHEMBL1065736,,BAO_0000357,,,CLD0
1279104,76263,Inhibition of BZP receptor in rat brain at 10 uM relative to control,B,,,Rattus norvegicus,10116.0,,Brain,,,22226,U,0,Autocuration,1,609418,CHEMBL3094852,,BAO_0000221,955.0,,CLD0
615380,50439,Selectivity ratio for IC50 for human BJ cells to IC50 for human Raji cells,A,,,,,,,Raji,,22224,U,0,Autocuration,1,,CHEMBL1103317,660.0,BAO_0000219,,,CLD0
606228,49330,"Effect on bone calcium mobilization in weanling Sprague-Dawley rat assessed as serum calcium level at 7020 pmol/day, ip administered for 4 consecutive days measured 24 hrs after last dose",F,,,Rattus norvegicus,10116.0,Sprague-Dawley,Serum,,,50597,N,1,Autocuration,1,,CHEMBL1067961,,BAO_0000218,1977.0,,CLD0
695801,54485,"Immunostimulatory activity in mongrel dog infected with Trypanosoma cruzi Y assessed as production of antibody IgG at 7 mg/kg, po BID for 90 days measured after 6 months by ELISA",F,,,Canis lupus familiaris,9615.0,mongrel,,,,50588,N,1,Autocuration,1,,CHEMBL1640715,,BAO_0000218,,,CLD0
1473445,91480,Binding affinity to recombinant human full-length wild type B-Raf (unknown origin) assessed as WHGDVAVK accessible protease cleavage peptide level by LC-MS/MS analysis relative to control,B,,,Homo sapiens,9606.0,,,,,100126,D,9,Autocuration,1,736586,CHEMBL3419727,,BAO_0000357,,,CLD0
134358,11085,Uterotrophic effect in mice as relative uterine weight(mg) at 250 ug (control = 12.3+/-3.7),F,,,Mus musculus,10090.0,,Uterus,,,104695,D,5,Autocuration,1,,CHEMBL740901,,BAO_0000221,995.0,,CLD0
840045,64937,Cytotoxicity against human A431 cells,F,,,Homo sapiens,9606.0,,,A-431,,80852,N,1,Autocuration,1,461179,CHEMBL2090535,500.0,BAO_0000219,,,CLD0
112732,8207,Compound was evaluated in vivo for antitumor activity against TLX5R Lymphoma implanted mice and percentage increase in life span (%ILS(T/C)) was reported at a optimal dose of 20 mg/Kg five times daily.,F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL722891,,BAO_0000218,,,CLD0
701232,54640,Displacement of [3H]-CP55940 from human cloned CB2 receptor expressed in CHO cells,B,,,Homo sapiens,9606.0,,,CHO,,259,D,9,Autocuration,1,,CHEMBL1648852,449.0,BAO_0000219,,,CLD0
1512533,93224,Induction of cell cycle arrest in human MCF7 cells assessed as accumulation at S phase at 1 uM incubated for 48 hrs by propidium iodide staining based flow cytometry (Rvb = 0.99%),F,,,Homo sapiens,9606.0,,,MCF7,,80224,N,1,Autocuration,1,766479,CHEMBL3610397,491.0,BAO_0000219,,,CLD0
473004,39111,Antibacterial activity against Haemophilus influenzae MSC01400 by broth microdilution method,F,,,Haemophilus influenzae,727.0,MSC01400,,,,50240,N,1,Intermediate,1,,CHEMBL938436,,BAO_0000218,,,CLD0
94388,10509,Tested for percent of L1210 cells killed by dose 1737 mg/kg administered intraperitoneally,F,,,Mus musculus,10090.0,,,L1210,,80193,N,1,Intermediate,1,,CHEMBL707863,691.0,BAO_0000218,,,CLD0
581102,48072,Growth inhibition of human UACC257 cells assessed as drug level required for 50% reduction in net protein increase by SRB assay relative to control,F,,,Homo sapiens,9606.0,,,UACC-257,,80568,N,1,Autocuration,1,,CHEMBL1055642,381.0,BAO_0000219,,,CLD0
756772,58224,Apparent permeability across apical to basolateral side in human Caco2 cells at 100 uM,A,,,Homo sapiens,9606.0,,,Caco-2,,80054,N,1,Autocuration,1,386049,CHEMBL1805318,495.0,BAO_0000219,,,CLD0
594586,48980,"Plasma concentration in Sprague-Dawley rat at 10 mg/kg, po after 4 hrs",A,,,Rattus norvegicus,10116.0,Sprague-Dawley,Plasma,,,50597,N,1,Autocuration,1,,CHEMBL1037081,,BAO_0000218,1969.0,,CLD0
1518916,93644,Inhibition of human recombinant FGFR2,B,,,Homo sapiens,9606.0,,,,,10264,D,9,Autocuration,1,771204,CHEMBL3625840,,BAO_0000357,,,CLD0
175015,16704,Agonist activity against alpha beta Nicotinic acetylcholine receptor (nAChR) in male rat cerebral cortex in antinociceptive assay in hypothermia test,F,,,Rattus norvegicus,10116.0,,Cerebral cortex,,,50597,N,1,Intermediate,1,,CHEMBL779876,,BAO_0000218,956.0,,CLD0
181224,13090,Effect on cAMP synthesis in rat striatal membranes as increase above basal value at a concentration of 10 uM in the presence of 1 uM of SCH 23390.,F,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Intermediate,1,,CHEMBL783981,,BAO_0000218,,,CLD0
116483,14001,Spermatogenic index (percent change from vehicle control) was calculated in Adult Male Swiss Mice at 8 (umol/kg) dose,F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL879967,,BAO_0000218,,,CLD0
992124,75276,Growth inhibition of human HL-60(TB) cells assessed as cell growth at 10'-7 M after 48 hrs by sulforhodamine B assay,F,,,Homo sapiens,9606.0,,,HL-60(TB),,80156,N,1,Autocuration,1,583930,CHEMBL2443584,5606.0,BAO_0000219,,,CLD0
62099,12058,"Binding affinity against D2 receptor in homogenated rat brain tissue, using by [3H]spiperone as radioligand",B,,,,,,Brain,,,14037,H,8,Autocuration,1,,CHEMBL674979,,BAO_0000221,955.0,,CLD0
499475,47174,Antiviral activity against HIV2 ROD in human MT4 cells assessed as inhibition of virus-induced cytopathicity after 5 days by MTT assay,F,,,Human immunodeficiency virus 2,11709.0,ROD,,MT4,,50658,N,1,Autocuration,1,,CHEMBL1021136,522.0,BAO_0000218,,,CLD0
561876,44821,Ratio of drug uptake in pons to cerebellum in awake rhesus monkey after 105 mins postinjection,A,,,Macaca mulatta,9544.0,,Cerebellum,,,22224,U,0,Autocuration,1,,CHEMBL1017942,,BAO_0000218,2037.0,,CLD0
1478157,91808,Induction of apoptosis in human HDF-1 cells assessed as increase in caspase3/7 activity at 60 uM after 24 hrs by caspase Glo-3/7 assay,A,,,Homo sapiens,9606.0,,,HDF-1,,22224,U,0,Autocuration,1,743489,CHEMBL3427918,,BAO_0000219,,,CLD0
36621,10612,,B,,,,,,,,,12807,H,8,Autocuration,1,,CHEMBL652861,,BAO_0000357,,,CLD0
517773,45681,"AUC (0 to 168 hrs) in Swiss SPF CD1 mouse liver at 25 mg/kg, po for 5 days",A,In vivo,,Mus musculus,10090.0,Swiss SPF CD1,Liver,,,102280,N,1,Autocuration,1,,CHEMBL987793,,BAO_0000218,2107.0,,CLD0
813480,61621,"Octanol-water partition coefficient, log P of the compound at 5 to 10 uCi at pH 7.4 after 3 mins",P,,,,,,,,,22229,U,0,Autocuration,1,441064,CHEMBL2019488,,BAO_0000100,,,CLD0
791187,60472,Antibacterial activity against Klebsiella pneumoniae 10-1 after 18 hrs by two fold serial dilution method,F,,,Klebsiella pneumoniae,573.0,10-1,,,,50148,N,1,Autocuration,1,419902,CHEMBL1929637,,BAO_0000218,,,CLD0
154577,16199,Inhibition of PDGF receptor transfected rat1A cell proliferation,F,,,Rattus norvegicus,10116.0,,,,,105043,D,5,Expert,1,,CHEMBL761925,,BAO_0000019,,,CLD0
1483777,91983,"Drug metabolism in conventional Wistar rat urine assessed as compound formation treated with mangiferin 400 mg/kg, po administered as single dose after 0 to 48 hrs by HPLC-DAD analysis",A,,,Rattus norvegicus,10116.0,Wistar,Urine,,,102352,N,1,Autocuration,1,701854,CHEMBL3539074,,BAO_0000218,1088.0,,CLD0
427628,35129,"Effect on mortality of BALB/c mouse inoculated with Cowpox virus at 100 mg/kg after 4 hrs of viral infection, po once daily for 14 days relative to control",F,,,Mus musculus,10090.0,BALB/c,,,,50594,N,1,Intermediate,1,,CHEMBL854828,,BAO_0000218,,,CLD0
87664,14725,Inhibitory activity against phytohemagglutininin A-induced proliferation of human lymphocytes; Not tested due to low solubility,F,,,Homo sapiens,9606.0,,,,,22224,U,0,Autocuration,1,,CHEMBL698237,,BAO_0000019,,,CLD0
155633,17773,In vitro antimalarial activity against Plasmodium falciparum D2,F,,,Plasmodium falciparum,5833.0,,,,,50425,N,1,Expert,1,,CHEMBL766997,,BAO_0000218,,,CLD0
226951,8258,Ratio of median survival times for non-survivors at dose 100 mg/kg in exp1; t=toxic,A,,,,,,,,,22224,U,0,Autocuration,1,,CHEMBL849129,,BAO_0000218,,,CLD0
653502,52309,Inhibition of Rad3-related (ATR) protein-mediated p53 phosphorylation,B,,,,,,,,,20139,H,8,Autocuration,1,,CHEMBL1226705,,BAO_0000357,,,CLD0
306222,20930,Inhibitory concentration against tissue transglutaminase was determined using full progress curves,B,,,,,,,,,12109,H,8,Expert,1,,CHEMBL831130,,BAO_0000357,,,CLD0
490860,44011,Inhibition of 5HT2A receptor at 10 uM,B,,,,,,,,,107,H,8,Intermediate,1,,CHEMBL993599,,BAO_0000357,,,CLD0
134746,13854,Antitumor effect against Colon 38 Adenocarcinoma was determined by the percent of median tumor volume of treated animals to median tumor volume of control animals by saline at dose 100 mg/kg,F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL743546,,BAO_0000218,,,CLD0
37759,3398,Ability to inhibit autophosphorylation of KinA and/or Sp0F TCS proteins from Bacillus subtilis,F,,,Bacillus subtilis,1423.0,,,,,50278,N,1,Expert,1,,CHEMBL650774,,BAO_0000218,,,CLD0
609184,49854,Antiobesity activity in Sprague-Dawley rat assessed as reduction of food intake after 20 hrs,F,,,Rattus norvegicus,10116.0,Sprague-Dawley,,,,50597,N,1,Autocuration,1,,CHEMBL1066797,,BAO_0000218,,,CLD0
81149,14555,"Net reduction in tumor burden between first and last treatments of HT-29 cell tumors in mice at 200 mg/kg ip dose, days 15-29 administration",F,,,Mus musculus,10090.0,,,HT-29,,80166,N,1,Expert,1,,CHEMBL692214,786.0,BAO_0000218,,,CLD0
948948,72372,Half life of the compound in citrate buffer at pH 6,P,,,,,,,,,22229,U,0,Autocuration,1,554191,CHEMBL2341705,,BAO_0000100,,,CLD0
986931,75104,Cytotoxicity against human cells Meso2 assessed as growth inhibition after 72 hrs by MTS assay,F,,,Homo sapiens,9606.0,,,,,22221,N,1,Autocuration,1,592500,CHEMBL2439009,,BAO_0000219,,,CLD0
203657,5675,In vitro minimum inhibitory concentration against methicillin-resistant Coagulase-negative Staphylococci (MRCNS) (GC 4546),F,,,Staphylococcus haemolyticus,1283.0,,,,,50187,N,1,Intermediate,1,,CHEMBL812225,,BAO_0000218,,,CLD0
672313,53010,Antibacterial activity against beta-lactamase-negative Klebsiella pneumoniae E358 after 24 hrs by agar dilution method,F,,,Klebsiella pneumoniae,573.0,E358,,,,50148,N,1,Autocuration,1,,CHEMBL1268099,,BAO_0000218,,,CLD0
19400,10424,Percent change from control value for Vmax at 0.1 uM of the compound,A,,,,,,,,,22224,U,0,Autocuration,1,,CHEMBL631769,,BAO_0000019,,,CLD0
505703,42500,Displacement of [125I]DPC-AJ1951 from PTH/PTH-related peptide receptor expressed in HKRK-B28 cells,B,In vitro,,,,,,HKRK-B28,,160,H,8,Intermediate,1,,CHEMBL944465,,BAO_0000219,,,CLD0
558119,44890,"Volume of distribution at steady state in CD rat at 2.5 mg/kg, iv and 5 mg/kg, po",A,In vivo,,Rattus norvegicus,10116.0,CD,,,,50597,N,1,Autocuration,1,,CHEMBL959048,,BAO_0000218,,,CLD0
600783,48897,Inhibition of p38,B,,,,,,,,,22226,U,0,Autocuration,1,,CHEMBL1037495,,BAO_0000019,,,CLD0
34765,6992,Compound is evaluated for the inhibition of porcine plasma Angiotensin I converting enzyme,B,,,Sus scrofa,9823.0,,Plasma,,,69,H,8,Autocuration,1,,CHEMBL644576,,BAO_0000366,1969.0,,CLD0
476838,39330,Stability in dog plasma at 5 uM after 24 hrs,A,,,Canis lupus familiaris,9615.0,,Plasma,,,102230,N,1,Autocuration,1,,CHEMBL932463,,BAO_0000366,1969.0,,CLD0
820380,62112,Agonist activity at PPARgamma in human HepG2 cells assessed as change in stearoyl CoA desaturase 1 mRNA at 0.5 to 12.5 uM by RT-PCR analysis,F,,,Homo sapiens,9606.0,,,HepG2,,133,D,9,Autocuration,1,451866,CHEMBL2037758,726.0,BAO_0000219,,,CLD0
1348411,83231,Efflux ratio of the compound in pig LLC-PK1 cells expressing human MDR1 at 1 uM,A,,,Sus scrofa,9823.0,,,LLC-PK1,,80161,N,1,Autocuration,1,677657,CHEMBL3265964,650.0,BAO_0000219,,,CLD0
1284865,76501,Growth inhibition of human SK-MEL-5 cells after 48 hrs by sulforhodamine B assay,F,,,Homo sapiens,9606.0,,,SK-MEL-5,,80488,N,1,Autocuration,1,617601,CHEMBL3108166,755.0,BAO_0000219,,,CLD0
691560,54394,Ratio of fAUC in in vivo pharmacodynamic model to MIC for heterogeneous vancomycin-intermediate Staphylococcus aureus 1629 at 2000 mg treated every 12 hrs,F,In vivo,,,,,,,,22226,U,0,Autocuration,1,,CHEMBL1634609,,BAO_0000218,,,CLD0
46623,5798,Binding affinity towards Cannabinoid receptor 1 was determined using [3H]-CP- cannabinoid as radioligand with rat brain membrane in the presence of PMSF,B,,,,,,,,,10502,H,8,Autocuration,1,,CHEMBL657121,,BAO_0000019,,,CLD0
347145,31015,Antibacterial activity against Staphylococcus aureus ATCC 29213,F,,,Staphylococcus aureus,1280.0,,,,,50185,N,1,Intermediate,1,,CHEMBL863819,,BAO_0000218,,,CLD0
576334,47584,Antiviral activity against HRV 1B infected in human HeLa Ohio cells assessed as reduction in viral plaque formation at maximum non-cytotoxic concentration after 3 days by neutral red uptake assay,F,,,Human rhinovirus 1B,12129.0,,,HeLa,,50622,N,1,Autocuration,1,,CHEMBL1033644,308.0,BAO_0000218,,,CLD0
811697,61492,Induction of Escherichia coli pUC18 DNA cleavage assessed as formation of open circular DNA at 200 uM after 48 hrs by agarose gel electrophoresis in presence of singlet oxygen radical scavenger NaN3,B,,,Escherichia coli,562.0,,,,,22222,M,3,Autocuration,1,439018,CHEMBL2014272,,BAO_0000225,,,CLD0
595192,49145,Cell cycle arrest in human MCF7 cells assessed as accumulation at G2/M phase at 10 uM after 48 hrs by propidium iodide staining based flow cytometry relative to control,F,,,Homo sapiens,9606.0,,,MCF7,,80224,N,1,Autocuration,1,,CHEMBL1040034,491.0,BAO_0000219,,,CLD0
850366,65270,Cytotoxicity against human MCF7 cells assessed as cell viability at 50 uM after 48 hrs by MTT assay,F,,,Homo sapiens,9606.0,,,MCF7,,80224,N,1,Autocuration,1,472453,CHEMBL2150786,491.0,BAO_0000219,,,CLD0
227025,1440,Selectivity ratio of thrombin Kass to plasmin Kass,B,,,,,,,,,22226,U,0,Autocuration,1,,CHEMBL847527,,BAO_0000019,,,CLD0
1293322,77001,Hepatotoxicity against human HepG2 cells assessed as cell viability at 1 uM after 24 hrs by MTT assay relative to control,A,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Autocuration,1,623334,CHEMBL3123734,726.0,BAO_0000219,,,CLD0
1339874,82337,Ratio of compound GI50 to paclitaxel GI50 for African green monkey Vero cells,A,,,Chlorocebus sabaeus,60711.0,,,Vero,,80583,N,1,Autocuration,1,663625,CHEMBL3243663,496.0,BAO_0000219,,,CLD0
521270,46868,"Toxicity in human assessed as serious adverse events at 20 mg, po qd for 10 days followed by 16 days washout period and treated with 20 mg, po qd for 10 days coadministered with fosamprenavir at 700 mg, po bid and ritonavir at 100 mg, po bid",A,,,Homo sapiens,9606.0,,,,,50587,N,1,Autocuration,1,,CHEMBL1005856,,BAO_0000218,,,CLD0
1456501,90428,Inhibition of AChE (unknown origin) by Ellman's method,B,,,Homo sapiens,9606.0,,,,,93,D,9,Autocuration,1,697969,CHEMBL3369424,,BAO_0000357,,,CLD0
16487,14216,Ratio of biodistribution in kidney and blood in normal Wistar rats at 60 min after injecting the compound,A,,,Rattus norvegicus,10116.0,,Blood/Kidney,,,50597,N,1,Intermediate,1,,CHEMBL627348,,BAO_0000218,10000020.0,,CLD0
1454207,90821,Antiproliferative activity against human SJSA1 cells after 3 days by EdU incorporation-based HCS assay in presence of 10% human serum,F,,,Homo sapiens,9606.0,,,SJSA-1,,106467,N,1,Autocuration,1,704045,CHEMBL3363507,1603.0,BAO_0000219,,,CLD0
1347271,82774,"Toxicity in male CDF1 mouse allografted with mouse P388 cells assessed as animal survival at 400 mg/kg, ip administered daily for 9 days as saline with Tween-80 solution starting 24 hrs after tumor inoculation",A,,,Mus musculus,10090.0,CDF1,,P388,,50594,N,1,Autocuration,1,674267,CHEMBL3252149,549.0,BAO_0000218,,,CLD0
1558372,98484,Inhibition of KDM4A (unknown origin) by RFMS assay,B,,,Homo sapiens,9606.0,,,,,101373,D,9,Autocuration,1,808854,CHEMBL3772964,,BAO_0000357,,,CLD0
514628,44068,"Anticonvulsant activity against scMet-induced seizures in mouse at 10 mg/kg, ip after 4 hrs",F,,,Mus musculus,10090.0,,,,,50594,N,1,Autocuration,1,,CHEMBL980006,,BAO_0000218,,,CLD0
445036,36616,Antiproliferative activity against A549 cells after 72 hrs by MTT assay,F,,,Homo sapiens,9606.0,,,A549,,80682,N,1,Autocuration,1,,CHEMBL894189,646.0,BAO_0000219,,,CLD0
753591,58072,"Volume of distribution at steady state in cynomolgus monkey at 3 mg/kg, po and 1 mg/kg, iv",A,In vivo,,Macaca fascicularis,9541.0,,,,,100710,N,1,Autocuration,1,385962,CHEMBL1799209,,BAO_0000218,,,CLD0
488656,43872,"Drug level in rat plasma at 5 mg/kg, po after 24 hrs",A,In vivo,,Rattus norvegicus,10116.0,,Plasma,,,102352,N,1,Autocuration,1,,CHEMBL988346,,BAO_0000218,1969.0,,CLD0
146316,16998,In vitro binding affinity to human Opioid receptor delta 1 on CHO cell membranes using [3H]diprenorphine displacement.,B,,,,,,,CHO,,136,H,8,Expert,1,,CHEMBL758863,449.0,BAO_0000219,,,CLD0
40963,11704,In vivo antitumor activity against C3H mammary tumor type was expressed as toxic deaths/total treated mice at 400 mg/kg dose given twice daily for 8 days; 2/10,A,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL656529,,BAO_0000218,,,CLD0
1468847,91368,Competitive binding to LasR in Escherichia coli at 100 to 500 uM,B,,,Escherichia coli,562.0,,,,,22226,U,0,Autocuration,1,735461,CHEMBL3411958,,BAO_0000019,,,CLD0
155785,10550,In vitro antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 (Indochina),F,,,Plasmodium falciparum,5833.0,,,,,50425,N,1,Intermediate,1,,CHEMBL760271,,BAO_0000218,,,CLD0
981407,74844,AUC in rat at 5 mg/kg,A,,,Rattus norvegicus,10116.0,,Plasma,,,50597,N,1,Autocuration,1,593632,CHEMBL2428357,,BAO_0000218,1969.0,,CLD0
1333244,82150,Inactivation of cytochrome P450 in rat liver microsomes assessed as inhibition of aminopyrine demethylation at 1 mM preincubated for 12 mins measured 5 mins after substrate addition by Nash reagent based colorimetry in presence of GSH (Rvb = 0%),A,,,Rattus norvegicus,10116.0,,Liver,,,22224,U,0,Autocuration,1,656502,CHEMBL3230993,,BAO_0000019,2107.0,,CLD0
830428,62699,Growth inhibition against human K562 cells expressing Cdc25A-C assessed as cell viability at 20 uM after 72 hrs by MTS assay,F,,,Homo sapiens,9606.0,,,K562,,80186,N,1,Autocuration,1,457890,CHEMBL2061106,655.0,BAO_0000219,,,CLD0
1344557,82501,"Drug metabolism in rabbit liver homogenates assessed as assessed as 1-(2,5-dihydroxy-4-methylphenyl)-2-aminopropane formation formation",A,,,Oryctolagus cuniculus,9986.0,,Liver,,,22224,U,0,Autocuration,1,656869,CHEMBL3253355,,BAO_0000221,2107.0,,CLD0
618949,50218,Inhibition of ROCK1,B,,,,,,,,,10811,H,8,Autocuration,1,,CHEMBL1099847,,BAO_0000357,,,CLD0
527605,42971,Cytotoxicity against human CCRF-CEM cells after 48 hrs by SRB assay,F,,,Homo sapiens,9606.0,,,CCRF-CEM,,80064,N,1,Autocuration,1,,CHEMBL977478,635.0,BAO_0000219,,,CLD0
1547185,97806,Cell cycle arrest in human MCF7 cells assessed as accumulation at G1 phase at 0.5 uM after 48 hrs by propidium iodide staining based flow cytometry (Rvb = 62.8 %),F,,,Homo sapiens,9606.0,,,MCF7,,80224,N,1,Autocuration,1,796283,CHEMBL3756292,491.0,BAO_0000219,,,CLD0
622447,49996,Neurotoxicity in po dosed rat assessed as motor impairment by rotarod test,A,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Autocuration,1,,CHEMBL1110199,,BAO_0000218,,,CLD0
3539,15629,Tested in vitro for % inhibition against 5-hydroxytryptamine receptor 1A,B,,,,,,,,,10576,H,8,Autocuration,1,,CHEMBL619206,,BAO_0000357,,,CLD0
48156,432,Tested in vitro for its antibacterial activity against Clostridium perfringens UC6509,F,,,Clostridium perfringens,1502.0,,,,,50288,N,1,Expert,1,,CHEMBL659042,,BAO_0000218,,,CLD0
760969,58528,Inhibition of PARG using [alpha-32P]ADP-ribose polymers after 5 mins by TRAP assay,B,,,,,,,,,104223,H,8,Autocuration,1,391909,CHEMBL1814966,,BAO_0000357,,,CLD0
194619,12290,Negative logarithm of the concentration causing a 100% inhibition of spontaneous mechanical activity in rat portal vein is determined in vitro,F,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Expert,1,,CHEMBL798096,,BAO_0000218,,,CLD0
775993,59439,Inhibition of NHE1,B,,,,,,,,,11096,H,8,Autocuration,1,409419,CHEMBL1912991,,BAO_0000357,,,CLD0
1495489,92393,"Anti-inflammatory activity against Swiss albino mouse assessed as reduction in paw thickness at 5 mg/kg, ip administered 30 mins prior to dextran injection measured after 4 hrs by vernier calliper analysis relative to control",F,,,Mus musculus,10090.0,Swiss albino,,,,50594,N,1,Autocuration,1,742797,CHEMBL3579709,,BAO_0000218,,,CLD0
464117,38440,Aqueous solubility of the compound,P,,,,,,,,,22229,U,0,Autocuration,1,,CHEMBL948279,,BAO_0000100,,,CLD0
333538,30676,Antiviral activity in cells infected with wild-type HIV1 NL4-3 in presence of NHS,F,,,Human immunodeficiency virus 1,11676.0,NL4-3,,,,50607,N,1,Expert,1,,CHEMBL867113,,BAO_0000218,,,CLD0
860061,65863,Permeability of the compound across artificial membrane by HPLC analysis,A,,,,,,,,,22224,U,0,Autocuration,1,480816,CHEMBL2167997,,BAO_0000019,,,CLD0
874646,66573,Inhibition of biotinylated Tat-KAc50 peptide binding to PCAF,B,,,,,,,,,100875,H,8,Autocuration,1,489992,CHEMBL2187094,,BAO_0000357,,,CLD0
715536,55242,Ratio of compound IC50 to alogliptin IC50 for DPP4,B,,,,,,,,,11140,H,8,Autocuration,1,,CHEMBL1663352,,BAO_0000357,,,CLD0
982729,74828,"Tmax in C57BL/6 mouse at 1 mg/kg, iv",A,,,Mus musculus,10090.0,,,,,50594,N,1,Autocuration,1,593569,CHEMBL2428869,,BAO_0000218,,,CLD0
1541039,97532,Inhibition of CYP2C9 (unknown origin),A,,,Homo sapiens,9606.0,,,,,12911,D,9,Autocuration,1,789384,CHEMBL3744270,,BAO_0000357,,,CLD0
182686,577,"Percent inhibition for its antiinflammatory activity in the rat carrageenan paw edema assay (CAR), % inhibition at 50 mg/Kg",F,,,Rattus norvegicus,10116.0,,,,,50597,N,1,Intermediate,1,,CHEMBL790304,,BAO_0000218,,,CLD0
438150,35955,Antibacterial activity against Staphylococcus aureus ATCC 25923,F,,,Staphylococcus aureus,1280.0,,,,,50185,N,1,Intermediate,1,,CHEMBL907543,,BAO_0000218,,,CLD0
1285266,76571,Induction of NO release in glutathione buffer assessed as nitrite level at 400 uM after 1 hr by Griess assay (Rvb = 3.3 +/- 1.2 uM),P,,,,,,,,,22229,U,0,Autocuration,1,615101,CHEMBL3107300,,BAO_0000100,,,CLD0
501118,47212,Cytotoxicity against human HL60 cells by MTT assay,F,,,Homo sapiens,9606.0,,,HL-60,,80156,N,1,Autocuration,1,,CHEMBL978896,649.0,BAO_0000219,,,CLD0
